Material,zt,nomalized_zt,k(W/m-k),nomalized_k,Conductivity(S/cm),nomalized_c,S(__V/K),nomalized_s,calculated_zt,normalized_calculated_zt,cop_normalized_calculated_zt,error_zt
Bi0.92Ag0.08Cu1Se1O1,0.42,1.2,0.423,0.870728695,22.733,1.192081804,331.351,0.933028285,0.413038938,1.191825907,1.191825907,-1.7
Bi0.90Ag0.10Cu1Se1O1,0.33,0.942857143,0.4746,0.976945245,21.337,1.118877819,320.541,0.902589156,0.323348491,0.933023675,0.933023675,-2.0
Bi1Cu1Se1O1,0.17,1,0.4162,1,7.739,1,368.864,1,0.177097876,1,1,4.2
Bi0.98Ca0.01Pb0.01Cu1Se1O1,0.42,2.470588235,0.4849,1.165064873,57.215,7.393074041,224.934,0.609801987,0.417893841,2.359677314,2.359677314,-0.5
Bi0.96Ca0.02Pb0.02Cu1Se1O1,0.52,3.058823529,0.533,1.28063431,86.273,11.14782272,213.559,0.578964063,0.516751193,2.917884752,2.917884752,-0.6
Bi0.92Ca0.04Pb0.04Cu1Se1O1,0.66,3.882352941,0.5276,1.267659779,148.315,19.16462075,183.702,0.498020951,0.66405813,3.74966738,3.74966738,0.6
Bi0.88Ca0.06Pb0.06Cu1Se1O1,1.08,6.352941176,0.5204,1.250360404,186.797,24.13709782,206.45,0.559691377,1.07092837,6.047098877,6.047098877,-0.8
Bi0.84Ca0.08Pb0.08Cu1Se1O1,0.97,5.705882353,0.5126,1.231619414,244.912,31.64646595,169.839,0.460437993,0.964726817,5.447421711,5.447421711,-0.5
Bi0.80Ca0.10Pb0.10Cu1Se1O1,0.74,4.352941176,0.571,1.371936569,273.184,35.29965112,148.867,0.40358235,0.742188233,4.190836432,4.190836432,0.3
Bi1Na0Cu1Se1O1F0,0.005403087,1,0.5355,1,1.198470613,1,178.043,1,0.004966103,1,1,-8.1
Bi0.95Na0.050Cu1Se1O0.95F0.05,0.089536878,16.57142857,0.5732,1.070401494,7.462838429,6.22696823,328.698,1.846171992,0.098466845,19.82778767,19.82778767,10.0
Bi0.90Na0.100Cu1Se1O0.90F0.10,0.055574614,10.28571429,0.5573,1.040709617,7.003068314,5.843337534,259.265,1.456193167,0.059126905,11.90609609,11.90609609,6.4
Bi0.85Na0.150Cu1Se1O0.85F0.15,0.103430532,19.14285714,0.5474,1.022222222,9.646746475,8.049214035,259.265,1.456193167,0.082920497,16.69729559,16.69729559,-19.8
Bi1Cu1Se1O1,0.16,1,0.7723,1,13.717,1,354.565,1,0.156301401,1,1,-2.3
Bi0.95Nd0.05Cu1Se1O1,0.22,1.375,0.77,0.997021883,27.581,2.010716629,295.916,0.834588862,0.219560504,1.40472512,1.40472512,-0.2
Bi0.90Nd0.10Cu1Se1O1,0.28,1.75,0.6603,0.854978635,44.568,3.249106948,244.566,0.689763513,0.28259993,1.808044766,1.808044766,0.9
Bi0.85Nd0.15Cu1Se1O1,0.15,0.9375,0.9641,1.248349087,65.019,4.740030619,178.008,0.502046169,0.149587493,0.957045123,0.957045123,-0.3
Bi0.94Pb0.06Cu1Se1O1,0.88,1,0.5723,1,142.428,1,226.154,1,0.891001053,1,1,1.3
Bi0.94Pb0.06Cu0.99Fe0.01Se1O1,1.19,1.352272727,0.5849,1.022016425,184.751,1.29715365,231.805,1.024987398,1.188088563,1.333431155,1.333431155,-0.2
Bi0.94Pb0.06Cu0.98Fe0.02Se1O1,1.03,1.170454545,0.5831,1.018871221,163.175,1.145666582,229.827,1.016241145,1.034691107,1.161268108,1.161268108,0.5
Bi0.94Pb0.06Cu0.97Fe0.03Se1O1,0.84,0.954545455,0.6452,1.127380744,129.98,0.912601455,244.662,1.08183804,0.844137623,0.94740362,0.94740362,0.5
Bi1Cu1Se1O1,0.1,1,0.4988,1,4.703420342,1,391.318,1,0.1010753,1,1,1.1
Bi0.975Ca0.025Cu1Se1O1,0.35,3.5,0.5383,1.079190056,24.43042569,5.194182939,280.868,0.717748736,0.250616245,2.479500382,2.479500382,-28.4
Bi0.950Ca0.050Cu1Se1O1,0.4,4,0.5601,1.122894948,43.44412299,9.236708572,230.707,0.589563986,0.288991484,2.859170188,2.859170188,-27.8
Bi0.925Ca0.075Cu1Se1O1,0.47,4.7,0.6172,1.237369687,109.3435333,23.24766348,218.65,0.558752728,0.592876436,5.865690591,5.865690591,26.1
Bi0.900Ca0.100Cu1Se1O1,0.38,3.8,0.6451,1.293303929,159.4359328,33.89787031,167.042,0.426870218,0.482734755,4.775991318,4.775991318,27.0
Bi1Cu1Se1O1,0.39,1,0.3701,1,8.566,1,405.451,1,0.266338394,1,1,-31.7
Bi0.875Ba0.125Cu1Se1O1,0.87,2.230769231,0.7491,2.024047555,321.177,37.49439645,169.938,0.419133261,0.866729714,3.254242472,3.254242472,-0.4
Bi0.750Ba0.250Cu1Se1O1,0.57,1.461538462,0.878,2.372331802,444.8,51.92621994,127.321,0.31402315,0.574868331,2.158413297,2.158413297,0.9
Bi1Cu1Se1O1,0.35,1,0.4932,1,30.612,1,308.235,1,0.412791341,1,1,17.9
Bi0.94Mg0.03Pb0.03Cu1Se1O1,0.93,2.657142857,0.6545,1.327047851,203.154,6.636417091,209.412,0.679390725,0.952833233,2.308268457,2.308268457,2.5
Bi0.88Mg0.06Pb0.06Cu1Se1O1,1.01,2.885714286,0.7325,1.485198702,353.432,11.5455377,172.101,0.558343472,1.000375546,2.423441205,2.423441205,-1.0
Bi0.82Mg0.09Pb0.09Cu1Se1O1,0.98,2.8,0.8227,1.668085969,589.981,19.27286685,140.84,0.4569241,0.995741485,2.412215046,2.412215046,1.6
Bi1Cu1Se1O1,0.35,1,0.4386,1,20.108,1,330.084,1,0.349661033,1,1,-0.1
Bi1Cu0.975Zn0.025Se1O1,0.34,0.971428571,0.5284,1.204742362,19.183,0.953998409,364.874,1.105397414,0.338327729,0.96758774,0.96758774,-0.5
Bi1Cu0.925Zn0.075Se1O1,0.37,1.057142857,0.4642,1.058367533,29.045,1.44444997,289.748,0.877800802,0.367709778,1.051617833,1.051617833,-0.6
Bi1Cu0.900Zn0.100Se1O1,0.5,1.428571429,0.4909,1.119243046,31.587,1.570867316,331.597,1.004583682,0.495261506,1.41640463,1.41640463,-0.9
Bi1Cu1Se1O1,0.35,1,0.4958,1,25.931,1,308.515,1,0.34846836,1,1,-0.4
Bi1Cu0.98Ag0.02Se1O1,0.43,1.228571429,0.463,0.933844292,34.951,1.347846207,283.868,0.920110854,0.425803798,1.221929584,1.221929584,-1.0
Bi1Cu0.95Ag0.05Se1O1,0.57,1.628571429,0.4051,0.817063332,31.324,1.207975011,325.241,1.054214544,0.572563406,1.643085777,1.643085777,0.4
Bi1Cu0.92Ag0.08Se1O1,0.63,1.8,0.4176,0.842275111,29.216,1.126682349,356.051,1.154080029,0.620844339,1.781637619,1.781637619,-1.5
Bi1Cu1Se1O1,0.35,1,0.4952,1,25.537,1,309.519,1,0.345829397,1,1,-1.2
Bi0.975Zn0.025Cu1Se1O0.975S0.025,0.37,1.057142857,0.6152,1.242326333,44.686,1.749853154,275.689,0.890701379,0.386448896,1.117455308,1.117455308,4.4
Bi0.950Zn0.050Cu1Se1O0.950S0.050,0.56,1.6,0.5356,1.081583199,38.071,1.490817246,337.604,1.090737564,0.567109501,1.639853366,1.639853366,1.3
Bi0.925Zn0.075Cu1Se1O0.925S0.075,0.22,0.628571429,0.5545,1.119749596,18.69,0.731879234,308.243,0.995877474,0.224177611,0.648231795,0.648231795,1.9
Bi1Cu1Se1O1,0.09,1,0.6648,1,4.627,1,406.447,1,0.080484893,1,1,-10.6
Bi0.98Li0.02Cu0.98Mn0.02Se1O1,0.26,2.888888889,0.6816,1.025270758,18.921,4.089258699,363.855,0.895208969,0.257258207,3.196353949,3.196353949,-1.1
Bi0.96Li0.04Cu0.96Mn0.04Se1O1,0.29,3.222222222,0.7729,1.162605295,23.186,5.011022261,368.021,0.905458768,0.284410592,3.533713966,3.533713966,-1.9
Bi0.94Li0.06Cu0.94Mn0.06Se1O1,0.43,4.777777778,0.8678,1.305354994,48.892,10.56667387,326.818,0.804085157,0.421238573,5.233759471,5.233759471,-2.0
Bi0.92Li0.08Cu0.92Mn0.08Se1O1,0.39,4.333333333,0.7044,1.059566787,40.362,8.723146747,309.225,0.760800301,0.383531083,4.765255527,4.765255527,-1.7
Bi0.90Li0.10Cu0.90Mn0.10Se1O1,0.44,4.888888889,0.6155,0.925842359,37.595,8.125135077,318.947,0.784719779,0.434947776,5.404092095,5.404092095,-1.1
Bi0.9Li0.1Cu1Se1O1,0.24,2.666666667,0.7236,1.088447653,25.722,5.559109574,308.762,0.759661161,0.23722033,2.947389507,2.947389507,-1.2
Bi1Cu0.9Mn0.1Se1O1,0.24,2.666666667,0.648,0.974729242,17.768,3.840069159,353.207,0.869011212,0.239452946,2.975129062,2.975129062,-0.2
Bi1Cu1Se1O1,0.092665474,1,0.6689,1,4.848,1,407.258,1,0.084147013,1,1,-9.2
Bi0.875Ba0.125Cu1.00Ni0.00Se1O1,0.184257603,1.988416988,0.7193,1.075347586,37.585,7.752681518,267.419,0.656632896,0.261569472,3.108481963,3.108481963,42.0
Bi0.875Ba0.125Cu0.95Ni0.05Se1O1,0.252951699,2.72972973,0.648,0.968754672,27.818,5.738036304,344.839,0.84673352,0.357340048,4.246615958,4.246615958,41.3
Bi0.875Ba0.125Cu0.90Ni0.10Se1O1,0.33881932,3.656370656,0.6209,0.928240395,24.92,5.140264026,344.839,0.84673352,0.33408515,3.970255615,3.970255615,-1.4
Bi0.875Ba0.125Cu0.85Ni0.15Se1O1,0.407513417,4.397683398,0.6086,0.909851996,24.49,5.051567657,382.097,0.938218525,0.411246422,4.887237329,4.887237329,0.9
Bi0.875Ba0.125Cu0.80Ni0.20Se1O1,0.28,3.021621622,0.7119,1.064284646,52.719,10.87438119,234.516,0.575841359,0.285096028,3.388070693,3.388070693,1.8
Bi1Cu1Se1O1,0.39,1,0.4875,1,24.094,1,330.358,1,0.377573914,1,1,-3.2
Bi0.960Ca0.040Cu1Se1O1,0.5,1.282051282,0.3708,0.760615385,24.9,1.033452312,323.996,0.980742104,0.493442962,1.306877787,1.306877787,-1.3
Bi0.925Ca0.075Cu1Se1O1,0.56,1.435897436,0.365,0.748717949,41.41,1.71868515,264.063,0.799323764,0.553765011,1.466640014,1.466640014,-1.1
Bi0.900Ca0.100Cu1Se1O1,0.32,0.820512821,0.4321,0.886358974,37.785,1.568232755,229.911,0.695945005,0.323558416,0.856940599,0.856940599,1.1
Bi0.850Ca0.150Cu1Se1O1,0.38,0.974358974,0.4075,0.835897436,73.826,3.064082344,173.996,0.526689228,0.383935521,1.016848639,1.016848639,1.0
Bi1Cu1Se1O1,0.42,1,0.5199,1,27.743,1,332.143,1,0.412080299,1,1,-1.9
Bi0.98Pb0.02Cu1Se1O1,0.66,1.571428571,0.5525,1.062704366,70.612,2.545218614,273.214,0.822579431,0.667805774,1.620571948,1.620571948,1.2
Bi0.96Pb0.04Cu1Se1O1,0.74,1.761904762,0.5781,1.111944605,119.673,4.313628663,227.381,0.684587663,0.749203147,1.81809989,1.81809989,1.2
Bi0.94Pb0.06Cu1Se1O1,0.92,2.19047619,0.6377,1.226582035,216.647,7.809068954,199.405,0.600358882,0.945597663,2.29469272,2.29469272,2.8
Bi0.92Pb0.08Cu1Se1O1,0.72,1.714285714,0.747,1.436814772,282.045,10.16634827,165.476,0.498207098,0.723712163,1.756240627,1.756240627,0.5
Bi0.90Pb0.10Cu1Se1O1,0.63,1.5,0.8166,1.570686671,336.265,12.12071514,148.81,0.448029915,0.638314286,1.549004615,1.549004615,1.3
Bi1Cu1Se1O1,0.35,1,0.7024,1,26.05203087,1,349.7630332,1,0.317616411,1,1,-9.3
Bi0.98Na0.02Cu1Se1O1,0.4,1.142857143,0.6582,0.937072893,43.67812898,1.676572901,276.3033175,0.7899729,0.354630747,1.116537858,1.116537858,-11.3
Bi0.96Na0.04Cu1Se1O1,0.54,1.542857143,0.6233,0.887386105,65.34035928,2.50807162,249.7630332,0.714092141,0.45776096,1.441238373,1.441238373,-15.2
Bi0.94Na0.06Cu1Se1O1,0.63,1.8,0.5938,0.845387244,71.57897557,2.747539181,245.0236967,0.700542005,0.506593369,1.594984866,1.594984866,-19.6
Bi0.92Na0.08Cu1Se1O1,0.67,1.914285714,0.571,0.812927107,69.43591429,2.665278367,252.1327014,0.720867209,0.541133529,1.7037329,1.7037329,-19.2
Bi0.90Na0.10Cu1Se1O1,0.64,1.828571429,0.5992,0.853075171,93.38928055,3.584721706,233.1753555,0.666666667,0.593182814,1.86760757,1.86760757,-7.3
Bi0.88Na0.12Cu1Se1O1,0.64,1.828571429,0.6099,0.868308656,85.90004658,3.297249531,227.4881517,0.650406504,0.510211649,1.606376847,1.606376847,-20.3
Bi1Cu1Se1O1,0.13,1,0.5041,1,6.97,1,364.245,1,0.128410731,1,1,-1.2
Bi0.975Sr0.025Cu1Se1O1,0.21,1.615384615,0.5577,1.10632811,14.347,2.058393113,338.061,0.928114319,0.205801548,1.602681851,1.602681851,-2.0
Bi0.950Sr0.050Cu1Se1O1,0.24,1.846153846,0.5934,1.177147391,40.309,5.783213773,225.842,0.620027729,0.242528033,1.888689761,1.888689761,1.1
Bi0.925Sr0.075Cu1Se1O1,0.37,2.846153846,0.6606,1.310454275,109.103,15.65322812,180.33,0.495078862,0.375951765,2.927728565,2.927728565,1.6
Bi0.900Sr0.100Cu1Se1O1,0.36,2.769230769,0.6757,1.340408649,123.564,17.72797704,167.238,0.459136021,0.358018946,2.788076538,2.788076538,-0.6
Bi0.875Sr0.125Cu1Se1O1,0.34,2.615384615,0.7801,1.547510415,160.474,23.02352941,154.146,0.42319318,0.342150327,2.664499485,2.664499485,0.6
Bi0.85Sr0.15Cu1Se1O1,0.4,3.076923077,0.8021,1.591152549,238.989,34.28823529,137.313,0.37697978,0.393251825,3.062452974,3.062452974,-1.7
Bi1Cu1Se1O1,0.46,1,0.6341,1,36.857,1,337.437,1,0.463282262,1,1,0.7
Bi0.98Cl0.02Cu1Se1O1,0.21,0.456521739,0.6805,1.073174578,16.381,0.444447459,352.03,1.043246591,0.208818837,0.45073782,0.45073782,-0.6
Bi0.96Cl0.04Cu1Se1O1,0.09,0.195652174,0.6434,1.014666456,10.476,0.28423366,286.041,0.847687124,0.093254339,0.201290545,0.201290545,3.6
Bi0.94Cl0.06Cu1Se1O1,0.08,0.173913043,0.665,1.048730484,8.667,0.235152074,287.944,0.853326695,0.075641696,0.163273456,0.163273456,-5.4
Bi0.90Cl0.10Cu1Se1O1,0.05,0.108695652,0.6805,1.073174578,5.619,0.152454079,285.406,0.845805291,0.047082026,0.101627085,0.101627085,-5.8
Bi1Cu1Se1O1,0.14,1,0.343,1,4.55,1,372.751,1,0.129018786,1,1,-7.8
Bi0.96Yb0.04Cu1Se1O1,0.22,1.571428571,0.4627,1.348979592,14.225,3.126373626,317.738,0.852413541,0.21726468,1.683977093,1.683977093,-1.2
Bi0.94Yb0.06Cu1Se1O1,0.32,2.285714286,0.4415,1.287172012,26.319,5.784395604,275.578,0.739308546,0.316902601,2.456251613,2.456251613,-1.0
Bi0.92Yb0.08Cu1Se1O1,0.2,1.428571429,0.4232,1.233819242,10.168,2.234725275,350.129,0.939310693,0.206178837,1.598052836,1.598052836,3.1
Bi0.90Yb0.10Cu1Se1O1,0.19,1.357142857,0.407,1.186588921,9.856,2.166153846,335.733,0.900689737,0.191069949,1.480946729,1.480946729,0.6
Bi0.85Yb0.15Cu1Se1O1,0.27,1.928571429,0.4486,1.30787172,56.124,12.33494505,173.265,0.464827727,0.262911191,2.037774491,2.037774491,-2.6
Bi0.7Yb0.3Cu1Se1O1,0.3,2.142857143,0.4408,1.285131195,60.805,13.36373626,176.35,0.473104029,0.300294014,2.327521621,2.327521621,0.1
Bi1Cu1Se1O1,0.396007984,1,0.513339785,1,17.65899865,1,336.5033552,1,0.272637846,1,1,-31.2
Bi0.98In0.02CuSeO,0.435129741,1.098790324,0.531030183,1.034461381,34.9120433,1.977011494,256.2059574,0.761377126,0.30203293,1.107817325,1.107817325,-30.6
Bi0.96In0.04CuSeO,0.465469062,1.175403226,0.558057181,1.087110716,55.0067659,3.114942528,217.0485844,0.64501165,0.324975507,1.191967703,1.191967703,-30.2
Bi0.94In0.06CuSeO,0.61237525,1.546370969,0.57181638,1.113914013,80.98782138,4.586206896,206.6396625,0.614079055,0.423409531,1.55301084,1.55301084,-30.9
Bi0.92In0.08CuSeO,0.566866267,1.431451612,0.620956807,1.209640915,94.7902571,5.367816091,191.769774,0.569889634,0.393064181,1.441708062,1.441708062,-30.7
Bi0.90In0.10CuSeO,0.365668663,0.923387098,0.646018206,1.258461208,89.9188092,5.091954022,160.5430082,0.47709185,0.251104941,0.921020115,0.921020115,-31.3
Bi1Cu1Se1O1,0.276975245,1,0.514047752,1,17.8082192,1,336.602376,1,0.274869669,1,1,-0.8
Bi0.98Ho0.02Cu1Se1O1,0.267842825,0.967028028,0.557140275,1.083829805,24.6575342,1.38461538,291.03271,0.864618704,0.262508961,0.955030659,0.955030659,-2.0
Bi0.96Ho0.04Cu1Se1O1,0.259623647,0.937353253,0.589586409,1.146948716,30.1369863,1.69230769,271.285855,0.805953476,0.263440228,0.958418689,0.958418689,1.5
Bi0.94Ho0.06Cu1Se1O1,0.318072877,1.148380163,0.615948893,1.198232831,51.1415525,2.871794868,233.817463,0.694639966,0.317660235,1.155675839,1.155675839,-0.1
Bi0.92Ho0.08Cu1Se1O1,0.351862831,1.270376459,0.626595281,1.218943724,65.5251142,3.679487177,219.133904,0.651017104,0.351414401,1.27847646,1.27847646,-0.1
Bi0.90Ho0.10Cu1Se1O1,0.401177899,1.448425107,0.645353202,1.255434343,95.43379,5.358974355,196.349071,0.583326456,0.398971745,1.451494254,1.451494254,-0.5
Bi1Cu1Se1O1,0.278215768,1,0.513494827,1,17.7836823,1,337.393768,1,0.276060188,1,1,-0.8
Bi0.98Y0.02Cu1Se1O1,0.283817427,1.020134225,0.545494869,1.062318139,32.5564096,1.830690014,259.206799,0.768261964,0.280792562,1.017142543,1.017142543,-1.1
Bi0.96Y0.04Cu1Se1O1,0.328008299,1.178970917,0.583172338,1.135692722,46.0894674,2.591671771,242.776204,0.719563392,0.325965966,1.180778612,1.180778612,-0.6
Bi0.94Y0.06Cu1Se1O1,0.336721992,1.210290827,0.597623969,1.163836396,54.9737649,3.091247581,228.045326,0.675902603,0.334756987,1.212623193,1.212623193,-0.6
Bi0.92Y0.08Cu1Se1O1,0.172406639,0.6196868,0.626011103,1.219118616,60.7588889,3.416552763,157.790368,0.467674222,0.169191013,0.612877265,0.612877265,-1.9
Bi0.90Y0.10Cu1Se1O1,0.16120332,0.579418346,0.635301438,1.23721098,40.2010377,2.260557573,189.518414,0.561712847,0.159126642,0.576420102,0.576420102,-1.3
Bi1Cu1Se1O1,0.091292135,1,0.664931507,1,4.806408545,1,407.4224221,1,0.08396574,1,1,-8.0
Bi0.98Li0.02Cu1Se1O1,0.359550562,3.938461533,0.674794521,1.014833128,26.83578104,5.583333333,359.8453296,0.883224168,0.36036527,4.29181318,4.29181318,0.2
Bi0.96Li0.04Cu1Se1O1,0.435393258,4.769230756,0.687945205,1.034610629,43.65821095,9.083333333,314.0303516,0.770773366,0.437949298,5.215809418,5.215809418,0.6
Bi0.94Li0.06Cu1Se1O1,0.526685393,5.769230756,0.733972603,1.103831891,82.9105474,17.25,259.404801,0.63669741,0.531929956,6.335083285,6.335083285,1.0
Bi0.92Li0.08Cu1Se1O1,0.495786517,5.430769222,0.760273973,1.143386898,112.5500668,23.41666667,219.7572239,0.539384216,0.50029994,5.958381829,5.958381829,0.9
Bi1Cu1Se1O1,0.313583441,1,0.32915633,1,12.9326288,1,338.335704,1,0.31483159,1,1,0.4
Bi0.975Sm0.025Cu1Se1O1,0.416817594,1.329207922,0.5251861,1.59555218,39.4055482,3.046986719,281.152205,0.830985916,0.415169249,1.318702642,1.318702642,-0.4
Bi0.950Sm0.050Cu1Se1O1,0.290297542,0.925742575,0.53883375,1.637014698,38.4544254,2.97344229,241.038407,0.712423797,0.290243213,0.921899907,0.921899907,0.0
Bi0.900Sm0.100Cu1Se1O1,0.336093144,1.07178218,0.51401985,1.56162833,71.0303831,5.492339121,186.415363,0.550977508,0.336144267,1.067695485,1.067695485,0.0
Bi1Cu1Se1O1,0.375714286,1,0.562655602,1,27.46595644,1,334.880803,1,0.383204521,1,1,2.0
Bi0.96Pb0.04Cu1Se1O1,0.529142857,1.408365018,1.008298755,1.792035397,200.1327981,7.286576695,194.8557089,0.581865867,0.52753751,1.376647405,1.376647405,-0.3
Bi0.98Pb0.02Cu0.98Ag0.02Se1O1,0.613142857,1.631939162,0.723236515,1.28539823,88.56646345,3.224590545,268.6323714,0.802173099,0.618591133,1.61425844,1.61425844,0.9
Bi0.96Pb0.04Cu0.96Ag0.04Se1O1,0.662857143,1.764258554,0.796680498,1.415929203,151.6320339,5.520726512,224.9686324,0.671787186,0.674293154,1.759616907,1.759616907,1.7
Bi0.94Pb0.06Cu0.94Ag0.06Se1O1,0.700571429,1.864638783,0.781742739,1.389380531,208.097767,7.576570925,194.8557089,0.581865867,0.707502327,1.846278652,1.846278652,1.0
Bi0.92Pb0.08Cu0.92Ag0.08Se1O1,0.596857143,1.588593155,0.96846473,1.721238936,266.4477472,9.701018342,176.7879548,0.527913076,0.601910095,1.570728061,1.570728061,0.8